customer_id,customer_name,email,city,state,registration_date
CUST-0450001,Steven Hill,steven.hill450001@protonmail.com,Memphis,TN,2020-03-03
CUST-0450002,Joseph Ramirez,joseph.ramirez450002@gmail.com,Denver,CO,2020-06-09
CUST-0450003,Donald Miller,donald.miller450003@hotmail.com,Chicago,IL,2025-01-25
CUST-0450004,Ashley King,ashley.king450004@mail.com,Austin,TX,2020-02-18
CUST-0450005,Jessica Wilson,jessica.wilson450005@gmail.com,Memphis,TN,2023-09-09
CUST-0450006,Barbara Rodriguez,barbara.rodriguez450006@mail.com,Pittsburgh,PA,2023-06-05
"  cust-0450007 ",Mark Wilson,mark.wilson450007@mail.com,Miami,FL,2020-09-23
CUST-0450008,Patricia Lewis,patricia.lewis450008@mail.com,Phoenix,AZ,2021-01-26
CUST-0450009,Elizabeth Davis,elizabeth.davis450009@hotmail.com,Houston,TX,2025-07-07
CUST-0450010,Donald Allen,donald.allen450010@outlook.com,Pittsburgh,PA,2021-03-06
CUST-0450011,Emily White,emily.white450011@icloud.com,Phoenix,AZ,2019-11-29
CUST-0450012,Charles White,charles.white450012@hotmail.com,Boston,MA,2024-08-20
CUST-0450013,Susan King,susan.king450013@icloud.com,Houston,TX,2019-06-14
CUST-0450014,Sandra Williams,sandra.williams450014@outlook.com,Houston,TX,2023-05-08
CUST-0450015,David Rodriguez,david.rodriguez450015@aol.com,Chicago,IL,2018-09-16
CUST-0450016,Emily Allen,emily.allen450016@aol.com,San Francisco,CA,2018-02-13
CUST-0450017,Emily Miller,emily.miller450017@protonmail.com,San Diego,CA,2019-10-22
CUST-0450018,Sarah Thompson,sarah.thompson450018@protonmail.com,Fort Worth,TX,2021-04-18
CUST-0450019,Betty Thompson,betty.thompson450019@protonmail.com,Boston,MA,2020-01-02
CUST-0450020,Joshua Jackson,joshua.jackson450020@protonmail.com,Atlanta,GA,2022-07-31
CUST-0450021,Sandra Jones,sandra.jones450021@mail.com,Columbus,OH,2023-12-12
CUST-0450022,Donna Sanchez,donna.sanchez450022@icloud.com,Boston,MA,2024-10-29
CUST-0450023,Emily Jackson,emily.jackson450023@protonmail.com,New York,NY,2023-12-22
CUST-0450024,Sandra Anderson,sandra.anderson450024@yahoo.com,San Diego,CA,2021-03-01
CUST-0450025,Joseph Torres,joseph.torres450025@mail.com,Fort Worth,TX,2023-10-16
CUST-0450026,Karen Jackson,karen.jackson450026@outlook.com,Houston,TX,2023-05-15
CUST-0450027,Mark Gonzalez,mark.gonzalez450027@yahoo.com,Philadelphia,PA,2024-05-03
CUST-0450028,Sarah Sanchez,sarah.sanchez450028@yahoo.com,Austin,TX,2022-11-23
CUST-0450029,James Hernandez,james.hernandez450029@hotmail.com,Indianapolis,IN,2022-01-01
CUST-0450030,Charles Taylor,charles.taylor450030@hotmail.com,Miami,FL,2022-12-20
CUST-0450031,Barbara Young,barbara.young450031@yahoo.com,Los Angeles,CA,2023-01-03
CUST-0450032,Susan Ramirez,susan.ramirez450032@protonmail.com,Charlotte,NC,2019-08-13
CUST-0450033,Mark Martin,mark.martin450033@aol.com,Denver,CO,2021-08-05
CUST-0450034,Lisa Johnson,lisa.johnson450034@aol.com,Atlanta,GA,2020-02-06
CUST-0450035,Andrew Hill,andrew.hill450035@hotmail.com,New York,NY,2020-01-10
